Invoice_ID,Branch,City,Product_Line,Unit_Price,Quantity,Total_Sales,Date,Payment
INV0001,Bangalore Branch,Bangalore,Electronics,62328.21,2,124656.42,2026-06-12,UPI
INV0002,Hyderabad Branch,Hyderabad,Clothing,7250.92,4,29003.68,2026-01-07,Debit Card
INV0003,Bangalore Branch,Bangalore,Electronics,18968.22,1,18968.22,2026-09-03,UPI
INV0004,Pune Branch,Pune,Electronics,56129.09,2,112258.18,2026-06-16,Cash
INV0005,Mumbai Branch,Mumbai,Home Appliances,5139.56,3,15418.68,2026-10-09,Credit Card
INV0006,Chennai Branch,Chennai,Groceries,3883.37,9,34950.33,2026-08-14,UPI
INV0007,Bangalore Branch,Bangalore,Sports & Fitness,11922.71,2,23845.42,2026-10-15,Debit Card
INV0008,Bangalore Branch,Bangalore,Groceries,598.21,3,1794.63,2026-06-18,Credit Card
INV0009,Mumbai Branch,Mumbai,Home Appliances,4895.77,1,4895.77,2026-01-03,Credit Card
INV0010,Hyderabad Branch,Hyderabad,Clothing,9084.79,3,27254.37,2026-02-17,Cash
INV0011,Delhi Branch,Delhi,Home Appliances,15353.86,2,30707.72,2026-06-17,Credit Card
INV0012,Chennai Branch,Chennai,Home Appliances,44575.79,1,44575.79,2026-05-26,Credit Card
INV0013,Pune Branch,Pune,Clothing,9216.25,1,9216.25,2026-10-17,Credit Card
INV0014,Bangalore Branch,Bangalore,Sports & Fitness,14054.35,2,28108.7,2026-05-31,Debit Card
INV0015,Hyderabad Branch,Hyderabad,Groceries,1429.1,8,11432.8,2026-11-10,Debit Card
INV0016,Delhi Branch,Delhi,Electronics,53403.68,1,53403.68,2026-03-10,Cash
INV0017,Hyderabad Branch,Hyderabad,Home Appliances,47459.24,2,94918.48,2026-05-21,Credit Card
INV0018,Mumbai Branch,Mumbai,Beauty & Personal Care,823.32,1,823.32,2026-10-04,Credit Card
INV0019,Bangalore Branch,Bangalore,Electronics,25001.27,1,25001.27,2026-02-15,Cash
INV0020,Pune Branch,Pune,Clothing,3045.67,4,12182.68,2026-04-28,Debit Card
INV0021,Bangalore Branch,Bangalore,Sports & Fitness,8047.03,2,16094.06,2026-10-02,Cash
INV0022,Delhi Branch,Delhi,Beauty & Personal Care,5964.43,2,11928.86,2026-08-03,Credit Card
INV0023,Chennai Branch,Chennai,Sports & Fitness,9642.58,4,38570.32,2026-10-11,Credit Card
INV0024,Chennai Branch,Chennai,Clothing,6977.55,1,6977.55,2026-07-08,Credit Card
INV0025,Bangalore Branch,Bangalore,Home Appliances,16393.59,1,16393.59,2026-11-10,Debit Card
INV0026,Mumbai Branch,Mumbai,Groceries,749.38,10,7493.8,2026-11-17,Debit Card
INV0027,Hyderabad Branch,Hyderabad,Sports & Fitness,5558.59,3,16675.77,2026-12-22,UPI
INV0028,Mumbai Branch,Mumbai,Groceries,4305.42,1,4305.42,2026-02-14,Debit Card
INV0029,Mumbai Branch,Mumbai,Beauty & Personal Care,4859.09,3,14577.27,2026-08-04,Cash
INV0030,Pune Branch,Pune,Groceries,1921.04,6,11526.24,2026-02-11,Cash
INV0031,Bangalore Branch,Bangalore,Clothing,9541.9,2,19083.8,2026-03-25,Credit Card
INV0032,Chennai Branch,Chennai,Home Appliances,4158.41,2,8316.82,2026-04-20,Debit Card
INV0033,Delhi Branch,Delhi,Clothing,3270.53,4,13082.12,2026-08-24,Debit Card
INV0034,Delhi Branch,Delhi,Sports & Fitness,4833.03,2,9666.06,2026-06-07,Debit Card
INV0035,Hyderabad Branch,Hyderabad,Groceries,4927.55,9,44347.95,2026-11-12,Credit Card
INV0036,Mumbai Branch,Mumbai,Home Appliances,35598.83,2,71197.66,2026-04-19,UPI
INV0037,Mumbai Branch,Mumbai,Groceries,3108.04,10,31080.4,2026-08-14,UPI
INV0038,Hyderabad Branch,Hyderabad,Groceries,74.68,1,74.68,2026-10-06,Credit Card
INV0039,Delhi Branch,Delhi,Clothing,2456.43,2,4912.86,2026-12-24,Cash
INV0040,Pune Branch,Pune,Electronics,47957.16,3,143871.48,2026-03-31,UPI
INV0041,Hyderabad Branch,Hyderabad,Electronics,28975.17,3,86925.51,2026-09-25,Credit Card
INV0042,Bangalore Branch,Bangalore,Home Appliances,46289.74,1,46289.74,2026-01-31,UPI
INV0043,Pune Branch,Pune,Home Appliances,38471.49,3,115414.47,2026-07-18,Cash
INV0044,Delhi Branch,Delhi,Home Appliances,22921.82,1,22921.82,2026-06-01,UPI
INV0045,Bangalore Branch,Bangalore,Electronics,56414.01,2,112828.02,2026-12-16,UPI
INV0046,Bangalore Branch,Bangalore,Groceries,4878.25,4,19513.0,2026-10-10,Credit Card
INV0047,Delhi Branch,Delhi,Electronics,35004.78,2,70009.56,2026-12-05,Debit Card
INV0048,Delhi Branch,Delhi,Beauty & Personal Care,5175.95,5,25879.75,2026-11-07,Cash
INV0049,Pune Branch,Pune,Beauty & Personal Care,7357.45,4,29429.8,2026-05-30,Credit Card
INV0050,Mumbai Branch,Mumbai,Groceries,1280.94,8,10247.52,2026-09-25,Debit Card
INV0051,Mumbai Branch,Mumbai,Home Appliances,44441.34,1,44441.34,2026-01-12,UPI
INV0052,Mumbai Branch,Mumbai,Electronics,8037.82,3,24113.46,2026-07-23,Credit Card
INV0053,Bangalore Branch,Bangalore,Groceries,3259.82,5,16299.1,2026-01-18,Debit Card
INV0054,Pune Branch,Pune,Electronics,58886.59,2,117773.18,2026-09-22,UPI
INV0055,Pune Branch,Pune,Groceries,3092.3,7,21646.1,2026-12-19,Debit Card
INV0056,Bangalore Branch,Bangalore,Home Appliances,25281.21,2,50562.42,2026-09-06,Debit Card
INV0057,Hyderabad Branch,Hyderabad,Sports & Fitness,12461.74,3,37385.22,2026-11-03,UPI
INV0058,Hyderabad Branch,Hyderabad,Electronics,12053.45,2,24106.9,2026-03-27,Debit Card
INV0059,Mumbai Branch,Mumbai,Clothing,2822.18,4,11288.72,2026-12-29,Credit Card
INV0060,Mumbai Branch,Mumbai,Home Appliances,14225.07,3,42675.21,2026-07-21,Credit Card
